0	1	1	0	0.000868896	1.00174	0.516578	0.413406	0.451166	0.0653101	0.175618	0.577977	-0.225954	0.456389	
0	2	1	0	0.00167913	1.0032	0.938227	0.300232	0.684944	0.0527829	0.491399	0.318173	-0.0864951	0.536898	
1	0	1	0	0	0	0	1105.66	0	0	771.53	0	0	-1206.7	
1	1	1	0	0.000373839	0.00428587	1.27997	1105.43	0	0	770.25	0.251277	-1.40661	-1206.47	
1	2	1	0	0.000747751	0.00857175	2.55994	1105.22	0.000266587	-0.00149231	768.97	0.40912	-2.13178	-1206.26	
1	3	1	0	0.00112173	0.0128577	3.83992	1105.05	0.00070071	-0.00375437	767.69	0.276275	-1.10383	-1206.09	
1	4	1	0	0.00149576	0.0171436	5.1199	1104.87	0.000993912	-0.00492582	766.41	0.722326	-1.23809	-1205.9	
1	5	1	0	0.00186985	0.0214295	6.39989	1104.69	0.00176061	-0.00623997	765.13	0.66495	-0.92634	-1205.73	
1	6	1	0	0.002244	0.0257155	7.67988	1104.45	0.00246651	-0.00722336	763.85	0.422698	-1.55581	-1205.49	
1	7	1	0	0.00261822	0.0300015	8.95987	1104.2	0.00291534	-0.00887533	762.57	-0.265698	-1.15417	-1205.23	
1	8	1	0	0.00299252	0.0342874	10.2399	1104.02	0.00263316	-0.0101011	761.29	-0.0152204	-1.27878	-1205.05	
1	9	1	0	0.00336688	0.0385735	11.5199	1103.81	0.00261699	-0.0114594	760.01	0.0972518	-1.63888	-1204.84	
1	10	1	0	0.00374131	0.0428595	12.7999	1103.57	0.00272031	-0.0132005	758.73	0.357902	-2.2781	-1204.61	
1	11	1	0	0.00411581	0.0471456	14.0799	1103.38	0.00310061	-0.0156212	757.45	0.658159	-1.68835	-1204.42	
1	12	1	0	0.00449037	0.0514316	15.3599	1103.18	0.00380008	-0.0174155	756.17	0.620574	-2.71007	-1204.21	
1	13	1	0	0.00486499	0.0557177	16.6399	1103	0.00445972	-0.0202962	754.89	0.848595	-3.82133	-1204.03	
1	14	1	0	0.00523967	0.0600038	17.9199	1102.71	0.00536187	-0.0243587	753.61	0.287779	-3.64435	-1203.73	
1	15	1	0	0.00561445	0.06429	19.2	1102.55	0.00566789	-0.028234	752.33	0.151366	-3.95538	-1203.57	
1	16	1	0	0.00598928	0.0685761	20.48	1102.38	0.00582887	-0.0324406	751.05	1.03599	-3.16256	-1203.41	
1	17	1	0	0.00636416	0.0728623	21.76	1102.18	0.00693082	-0.0358046	749.77	1.44353	-3.72509	-1203.2	
1	18	1	0	0.0067391	0.0771485	23.0401	1102	0.00846653	-0.0397675	748.49	1.56584	-3.1063	-1203.03	
1	19	1	0	0.0071141	0.0814347	24.3201	1101.46	0.0101326	-0.0430727	747.21	2.54324	-2.6229	-1202.48	
1	20	1	0	0.00748927	0.0857209	25.6002	1101.27	0.0128399	-0.0458648	745.93	2.60488	-2.22328	-1202.29	
1	21	1	0	0.00786451	0.0900072	26.8802	1101.09	0.0156132	-0.0482318	744.65	2.72462	-2.70763	-1202.11	
1	22	1	0	0.0082398	0.0942935	28.1603	1100.9	0.0185145	-0.051115	743.37	3.30399	-3.71569	-1201.92	
1	23	1	0	0.00861515	0.0985798	29.4403	1100.72	0.0220333	-0.0550723	742.09	3.40588	-2.61673	-1201.73	
1	24	1	0	0.00899056	0.102866	30.7204	1100.27	0.0256611	-0.0578595	740.81	3.85518	-1.9428	-1201.28	
1	25	1	0	0.00936611	0.107152	32.0005	1100.08	0.0297692	-0.0599298	739.53	3.9979	-0.948177	-1201.09	
1	26	1	0	0.00974172	0.111439	33.2806	1099.89	0.03403	-0.0609403	738.25	4.9141	-1.89631	-1200.9	
1	27	1	0	0.0101174	0.115725	34.5606	1099.72	0.039268	-0.0629616	736.969	6.20154	-2.83127	-1200.72	
1	28	1	0	0.0104931	0.120012	35.8407	1099.51	0.0458794	-0.06598	735.689	7.29964	-3.79856	-1200.5	
1	29	1	0	0.0108689	0.124298	37.1208	1099.32	0.0536628	-0.0700303	734.409	6.98097	-2.82142	-1200.31	
1	30	1	0	0.0112448	0.128585	38.4009	1099.14	0.0611076	-0.0730391	733.129	6.85224	-3.35047	-1200.13	
1	31	1	0	0.0116207	0.132871	39.681	1098.72	0.0684162	-0.0766128	731.849	7.40594	-3.53112	-1199.71	
1	32	1	0	0.0119967	0.137158	40.9611	1098.53	0.0763183	-0.0803805	730.569	6.55788	-5.46937	-1199.51	
1	33	1	0	0.0123729	0.141444	42.2412	1098.3	0.0833166	-0.0862172	729.289	6.71037	-5.46932	-1199.29	
1	34	1	0	0.012749	0.145731	43.5213	1098.12	0.0904791	-0.0920549	728.009	6.38331	-4.89683	-1199.11	
1	35	1	0	0.0131253	0.150017	44.8014	1097.93	0.0972935	-0.0972825	726.729	5.37503	-4.209	-1198.92	
1	36	1	0	0.0135016	0.154304	46.0816	1097.77	0.103032	-0.101776	725.449	4.72871	-3.22419	-1198.77	
1	37	1	0	0.0138779	0.15859	47.3617	1097.58	0.108082	-0.105219	724.169	5.35057	-2.75405	-1198.58	
1	38	1	0	0.0142543	0.162877	48.6418	1097.39	0.113797	-0.108161	722.889	5.71986	-3.48847	-1198.38	
1	39	1	0	0.0146308	0.167164	49.922	1097.19	0.119907	-0.111887	721.608	6.86372	-3.89173	-1198.18	
1	40	1	0	0.0150074	0.17145	51.2021	1097.01	0.12724	-0.116045	720.328	7.67147	-4.51134	-1197.99	
1	41	1	0	0.015384	0.175737	52.4822	1096.81	0.135437	-0.120866	719.048	8.25767	-4.03887	-1197.78	
